Log_ID,Timestamp,Log Level,Username,Category,Description
27,4/5/2024 3:08:51 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
28,4/5/2024 3:09:02 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
33,4/5/2024 4:11:50 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successfully sent OTP to manager.
34,4/5/2024 4:12:22 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successful authentication.
35,4/5/2024 4:13:11 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successfully sent OTP to manager.
36,4/5/2024 4:13:21 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successful authentication.
41,4/5/2024 4:52:52 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successfully sent OTP to manager.
42,4/5/2024 4:54:10 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successful authentication.
63,4/5/2024 6:06:09 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successfully sent OTP to manager.
64,4/5/2024 6:06:19 AM,Info,AFFKahiwAYT+JMsdsVLyF+WWV9nKpyTvU1gaTp9Z+q4=,Data Store,Successful authentication.
65,4/5/2024 6:07:42 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successfully sent OTP to manager.
66,4/5/2024 6:07:51 AM,Info,fEdvfXkpLAh88eklCsiNFuV9wMR4c846K+i/d8EW6u0=,Data Store,Successful authentication.
